Date,avg_sentiment_all_news,avg_sentiment_top_news
8/2/2011,-0.208831052,-0.061487877
5/17/2011,-0.154903999,-0.179389998
5/13/2019,-0.140367352,-0.287787496
4/26/2019,-0.090095118,-0.125086958
6/3/2018,-0.103226877,-0.099225922
2/1/2018,-0.089618441,-0.259399997
2/4/2018,-0.09897619,0.069725004
3/21/2015,-0.162240554,-0.336409998
11/4/2010,-0.145327037,-0.214528572
10/6/2009,-0.017915965,-0.092424998
8/9/2010,-0.185833998,-0.134645831
6/6/2008,-0.112184209,-0.127915002
12/9/2009,-0.091946445,-0.264685
11/27/2009,-0.082275122,-0.189364994
9/26/2013,-0.069975683,-0.319409999
2/25/2015,-0.158286215,0.001914998
1/6/2014,-0.067678108,-0.013879996
6/21/2014,-0.172731603,-0.293579998
11/23/2012,-0.051000683,-0.373075
7/2/2014,-0.128948603,-0.273461902
12/22/2012,-0.036002035,-0.212985716
6/25/2012,-0.017381169,-0.391199995
9/27/2019,-0.112325936,-0.07812948
1/20/2019,-0.07812948,-0.114386494
12/4/2018,-0.114386494,-0.346109997
5/20/2019,-0.090725801,-0.293457144
6/24/2018,-0.061291608,-0.176715002
11/16/2017,-0.041330849,-0.086813599
12/3/2017,-0.08926155,-0.038609998
11/30/2015,-0.095130709,-0.161335003
8/8/2017,-0.107179063,-0.232215
8/22/2017,-0.026282578,-0.093680953
4/29/2017,-0.049547087,-0.221285001
3/1/2010,-0.09942109,-0.12096
5/27/2016,-0.126094654,-0.151116666
9/15/2015,-0.160536307,-0.080240002
3/20/2008,-0.086813599,-0.253044998
5/11/2014,-0.123522769,-0.295876189
6/9/2014,-0.138643386,-0.086040001
9/3/2014,-0.07484213,-0.012728573
5/24/2013,-0.088693413,-0.238065213
11/27/2014,-0.128548339,-0.155319999
4/20/2013,-0.109863619,-0.402519041
9/10/2012,-0.04821997,-0.416329993
10/1/2012,-0.059723586,-0.174364999
6/27/2011,-0.152727648,-0.192624998
9/11/2011,-0.182984553,-0.15385
2/16/2012,-0.071211111,-0.146920001
8/10/2010,-0.219584056,-0.147840001
6/15/2019,-0.128484274,-0.32745
3/19/2019,-0.1346085,-0.044655493
12/20/2009,-0.067044444,-0.093905807
6/11/2008,-0.044655493,-0.165714998
5/6/2009,-0.01496129,-0.222539995
9/4/2015,-0.092777408,-0.027270003
7/2/2016,-0.182764503,-0.221117239
9/29/2008,-0.093905807,-0.144353193
2/17/2015,-0.166447174,-0.124284996
3/30/2014,-0.148868637,-0.105024997
2/3/2015,-0.163035511,-0.417999999
5/31/2013,-0.071415928,-0.300109996
12/18/2013,-0.064802957,-0.171064997
8/23/2013,-0.125326036,-0.278534994
2/9/2015,-0.143404707,-0.173342857
3/2/2012,-0.03164539,-0.029854999
7/19/2012,-0.03880997,-0.315395235
1/18/2012,-0.044455307,-0.224309524
9/8/2010,-0.116542533,-0.195919996
5/12/2019,-0.116157951,-0.129847822
8/21/2019,-0.129418123,-0.194294118
1/16/2018,-0.10665782,-0.146294999
9/17/2015,-0.11195696,-0.022885001
2/7/2017,-0.076539796,-0.324580001
5/25/2015,-0.113271475,-0.261542856
12/2/2010,-0.112127205,-0.128622722
10/22/2010,-0.208808626,-0.425704758
8/3/2010,-0.165383494,-0.181614997
9/26/2009,-0.04496232,0.012419049
10/14/2009,-0.074855763,-0.178666663
4/17/2009,-0.061525424,-0.17189
11/20/2014,-0.135985057,-0.333011107
3/19/2014,-0.076030592,-0.402239996
9/2/2013,-0.072171428,-0.226845003
8/5/2013,-0.073011642,-0.20758462
